,Year,Laureate,Country,Rationale
19,1915,William Lawrence Bragg (1890–1971),Australia,"""'For their services in the analysis of crystal structure by means of X-rays', an important step in the development of X-ray crystallography"""
196,2011,Brian P. Schmidt (b. 1967),Australia,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
39,1933,Erwin Schrödinger (1887–1961),Austria,"""for the discovery of new productive forms of atomic theory"""
43,1936,Victor Francis Hess (1883–1964),Austria,"""for his discovery of cosmic radiation"""
54,1945,Wolfgang Pauli (1900–1958),Austria,"""for the discovery of the Exclusion Principle, also called the Pauli principle"""
227,2022,Anton Zeilinger (b. 1945),Austria,"""for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science"""
7,1905,Philipp Eduard Anton von Lenard (1862–1947),Austria,"""for his work on cathode rays"""
200,2013,François Englert (b. 1932),Belgium,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
145,1990,Richard E. Taylor (1929–2018),Canada,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
150,1994,Bertram Brockhouse (1918–2003),Canada,"""for the development of neutron spectroscopy"" and ""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter"""
206,2015,Arthur B. McDonald (b. 1943),Canada,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
215,2018,Donna Strickland (b. 1959),Canada,"""for groundbreaking inventions in the field of laser physics"", in particular ""for their method of generating high-intensity, ultra-short optical pulses"""
191,2009,Willard S. Boyle (1924–2011),Canada,"""for the invention of an imaging semiconductor circuit – the CCD sensor"""
216,2019,James Peebles (b. 1935),Canada,"""for theoretical discoveries in physical cosmology"""
26,1922,Niels Bohr (1885–1962),Denmark,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
107,1975,Aage Bohr (1922–2009),Denmark,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
108,1975,Ben Roy Mottelson (1926–2022),Denmark,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
3,1903,Antoine Henri Becquerel (1852–1908),France,"""for his discovery of spontaneous radioactivity"""
4,1903,Pierre Curie (1859–1906),France,"""for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
10,1908,Gabriel Lippmann (1845–1921),France,"""for his method of reproducing colours photographically based on the phenomenon of interference"""
31,1926,Jean Baptiste Perrin (1870–1942),France,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"""
35,1929,"Louis Victor Pierre Raymond, 7th Duc de Broglie (1892–1987)",France,"""for his discovery of the wave nature of electrons"""
92,1966,Alfred Kastler (1902–1984),France,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms"""
97,1970,Louis Néel (1904–2000),France,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"""
146,1991,Pierre-Gilles de Gennes (1932–2007),France,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"""
158,1997,Claude Cohen-Tannoudji (b. 1933),France,"""for development of methods to cool and trap atoms with laser light."""
185,2007,Albert Fert (b. 1938),France,"""for the discovery of giant magnetoresistance"""
198,2012,Serge Haroche (b. 1944),France,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems."""
214,2018,Gérard Mourou (b. 1944),France,"""for groundbreaking inventions in the field of laser physics"", in particular ""for their method of generating high-intensity, ultra-short optical pulses"""
225,2022,Alain Aspect (b. 1947),France,"""for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science"""
147,1992,Georges Charpak (1924–2010),France,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber"""
0,1901,Wilhelm Röntgen (1845–1923),Germany,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him"""
12,1909,Karl Ferdinand Braun (1850–1918),Germany,"""for their contributions to the development of wireless telegraphy"""
14,1911,Wilhelm Wien (1864–1928),Germany,"""for his discoveries regarding the laws governing the radiation of heat"""
17,1914,Max von Laue (1879–1960),Germany,"""For his discovery of the diffraction of X-rays by crystals"", an important step in the development of X-ray spectroscopy."
22,1918,Max Planck (1858–1947),Germany,"""for the services he rendered to the advancement of physics by his discovery of energy quanta"""
9,1907,Albert Abraham Michelson (1852–1931),Germany,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"""
84,1963,Maria Goeppert-Mayer (1906–1972),Germany,"""for their discoveries concerning nuclear shell structure"""
161,1998,Horst Ludwig Störmer (b. 1949),Germany,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
166,2000,Herbert Kroemer (b. 1928),Germany,"""for developing semiconductor heterostructures used in high-speed- and optoelectronics"""
170,2001,Wolfgang Ketterle (b. 1957),Germany,"""for the achievement of Bose–Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
182,2005,Theodor W. Hänsch (b. 1941),Germany,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
186,2007,Peter Grünberg (1939–2018),Germany,"""for the discovery of giant magnetoresistance"""
220,2020,Reinhard Genzel (b. 1952),Germany,"""for the discovery of a supermassive compact object at the centre of our galaxy"""
223,2021,Klaus Hasselmann (b. 1931),Germany,"""for the physical modelling of Earth's climate, quantifying variability and reliably predicting global warming"""
210,2017,Rainer Weiss (b. 1932),Germany,"""for decisive contributions to the LIGO detector and the observation of gravitational waves"""
