,Year,Laureate,Country,Rationale
86,1970,Luis F. Leloir (1906-1987),Argentina,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates"""
94,1975,John Warcup Cornforth (1917-2013),Australia,"""for his work on the stereochemistry of enzyme-catalyzed reactions"""
23,1923,Fritz Pregl (1869-1930),Austria,"""for his invention of the method of micro-analysis of organic substances"""
97,1977,Ilya Prigogine (1917-2003),Belgium,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"""
126,1993,Michael Smith (1932-2000),Canada,"""for contributions to the developments of methods within DNA-based chemistry [...] for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"""
113,1986,John C. Polanyi(b. 1929),Canada,"""for their contributions concerning the dynamics of chemical elementary processes"""
120,1989,Sidney Altman (1939-2022),Canada,"""for their discovery of catalytic properties of RNA"""
87,1971,Gerhard Herzberg (1904-1999),Canada,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"""
70,1959,Jaroslav Heyrovský (1890-1967),Czechoslovakia,"""for his discovery and development of the polarographic methods of analysis"""
136,1997,Jens C. Skou (1918-2018),Denmark,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"""
197,2022,Morten Meldal (b. 1954),Denmark,"""for the development of click chemistry and bioorthogonal chemistry"""
50,1945,Artturi Ilmari Virtanen (1895-1973),Finland,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"""
5,1906,Henri Moissan (1852-1907),France,"""[for his] investigation and isolation of the element fluorine, and for [the] electric furnace called after him"""
11,1912,Victor Grignard (1871-1935),France,"""for the discovery of the [...] Grignard reagent"""
12,1912,Paul Sabatier (1854-1941),France,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals"""
37,1935,Frédéric Joliot (1900-1958),France,"""[for] their synthesis of new radioactive elements"""
38,1935,Irène Joliot-Curie (1897-1956),France,"""[for] their synthesis of new radioactive elements"""
115,1987,Jean-Marie Lehn (b. 1939),France,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
154,2005,Yves Chauvin (1930-2015),France,"""for the development of the metathesis method in organic synthesis"""
180,2016,Jean-Pierre Sauvage (b. 1944),France,"""for the design and synthesis of molecular machines"""
192,2020,Emmanuelle Charpentier (b. 1968),France,"""for the development of a method for genome editing"""
1,1902,Hermann Emil Fischer (1852-1919),Germany,"""[for] his work on sugar and purine syntheses"""
