,Year,Laureate,Country,Rationale
46,1936,Carlos Saavedra Lamas(1878–1959),Argentina,"""for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935.""[8][39]"
96,1980,Adolfo Pérez Esquivel(born 1931),Argentina,"""for being a source of inspiration to repressed people, especially in Latin America.""[76][8]"
6,1905,Bertha von Suttner(1843–1914),Austria,"""for her audacity to oppose the horrors of war.""[8][13]"
16,1911,Alfred Fried(1864–1921),Austria,"""for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations.""[8][20]"
132,2006,Muhammad Yunus(born 1940),Bangladesh,"""for their efforts to create economic and social development from below.""[106]"
133,2006,Grameen Bank(founded 1983),Bangladesh,"""for their efforts to create economic and social development from below.""[106]"
155,2022,Ales Bialiatski (born 1962),Belarus,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""[123]"
5,1904,Institute of International Law(founded 1873),Belgium,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane.""[8][12]"
12,1909,Auguste Beernaert(1829–1912),Belgium,"""for their prominent position in the international movement for peace and arbitration.""[8][17]"
18,1913,Henri La Fontaine(1854–1943),Belgium,"""for his unparalleled contribution to the organization of peaceful internationalism.""[8][22]"
69,1958,Dominique Pire(1910–1969),Belgium,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity.""[57]"
108,1991,Aung San Suu Kyi[F](born 1945),Burma,"""for her non-violent struggle for democracy and human rights.""[91]"
68,1957,Lester Bowles Pearson(1897–1972),Canada,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis.""[56][8]"
116,1995,Pugwash Conferences on Science and World Affairs,Canada,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms.""[95]"
138,2010,Liu Xiaobo(1955–2017),China,"""for his long and non-violent struggle for fundamental human rights in China.""[110]"
147,2016,Juan Manuel Santos(born 1951),Colombia,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end.""[117]"
104,1987,Óscar Arias(born 1940),Costa Rica,"""for his work for lasting peace in Central America.""[84]"
